aluminium	ammonia	arsenic	barium	cadmium	chloramine	chromium	copper	fluoride	bacteria	viruses	lead	nitrates	nitrites	mercury	perchlorate	radium	selenium	silver	uranium	is_safe
0.03	20.38	0.04	3.53	0.002	2.13	0.41	0.79	0.59	0.49	0.007	0.024	3.34	1.67	0.002	42	6.25	0.06	0.35	0.09	0
0.04	1.12	0.01	3.01	0.07	0.24	0.06	0.09	1.33	0.49	0	0.031	12.76	2.14	0.009	4	3.93	0.09	0	0.03	0
2.6	18.17	0.03	3.33	0.003	3.26	0.26	1.07	1.44	0.07	0.005	0.06	9.95	1.72	0.006	1.25	1.55	0.1	0.04	0.08	1
0.09	0.52	0.1	0.41	0.09	0	0.05	1.06	0.53	0.96	0.96	0.158	11.66	1.78	0.002	1.69	0.43	0.03	0	0.03	0
0.04	6.13	0.09	2.1	0.02	0.04	0.08	0.83	1.09	0	0	0.151	16.09	2.26	0.006	5	0.39	0.07	0.07	0.01	0
0.01	11.97	0.04	0.13	0.07	0.16	0	0.34	0.14	0.06	0.004	0.086	14.33	1.07	0	1.41	0.92	0.01	0.07	0.06	0
3.09	6.31	0.05	2.91	0.006	5.66	0.01	0.98	0.33	0.49	0.007	0.062	4.91	1.18	0.004	43.27	0.06	0.03	0.36	0.03	1
0.04	28.9	0.04	1.11	0.008	0.4	0.37	0.77	0.46	0.19	0.001	0.059	13.37	1.68	0.005	15.8	0.73	0.01	0.42	0.03	0
0.03	25.91	0.06	1.92	0.06	0.16	0.04	1.87	1.16	0.43	0.009	0.121	13.02	0.64	0.005	12.13	2.27	0.07	0.09	0.08	0
0.18	14.14	0.02	2.86	0.009	5.27	0.01	0.71	0.52	0.39	0.007	0.146	7.72	1.57	0.003	27.48	2.92	0.07	0.41	0.01	0
0.09	12.21	0.04	2.89	0.006	5.23	0.84	0.99	0.62	0.72	0.72	0.076	15.59	1.77	0.004	9.06	1.06	0.06	0.4	0.02	0
0.01	10.72	0.09	0.3	0.08	0.23	0.08	0.4	0.79	0.43	0.005	0.033	14.34	0.13	0.006	5.68	0.28	0.04	0.08	0.02	0
2.79	9.54	0.04	1.72	0.005	6.89	0.56	1.15	0.77	0.77	0.77	0.019	8.61	1.93	0	31.13	1.95	0.03	0.32	0	1
0.05	3.34	0.16	2.66	0.11	4.68	0.61	0.87	1.14	0.79	0.79	0.102	5.73	1.7	0.006	58.76	4.25	0.1	0.27	0.03	0
0.18	16.29	0.01	3.45	0.006	6.79	0.05	1.18	0.47	0.42	0.009	0.087	0.26	1.53	0.006	18.48	3.02	0.02	0.31	0.06	0
0.04	1.49	0.05	0.07	0.03	0.37	0.07	1.69	1.37	0.93	0.93	0.161	3.02	0.61	0.009	2.92	0.5	0.04	0.02	0.01	0
0.04	10.5	0.05	0.7	0.02	0.16	0.02	1.63	0.67	0.4	0.008	0.143	6.85	1.29	0.008	2.29	2.23	0.02	0.08	0.03	0
0.1	10.13	0.04	0.35	0.02	0.36	0.09	0.03	1.48	0	0.75	0.147	8.25	0.8	0.007	2.32	0.15	0.02	0.1	0.02	0
0.06	13.29	0.01	1.38	0.001	7.17	0.24	0.38	0.61	0.2	0.001	0.03	1.43	1.01	0.009	6.99	3.6	0	0.37	0.04	0
0.2	20.64	0.85	3.04	0.05	4.34	0.57	0.05	0.07	0.78	0.78	0.196	10.56	1.86	0.005	40.86	2.3	0.07	0.44	0.03	0
0	10.45	0.38	1.43	0.05	6.88	0.37	0.04	0.22	0.13	0.004	0.001	5.33	1.26	0.002	20.38	7.54	0	0.47	0.06	0
0.1	6.33	0.02	0.09	0.02	0.04	0.07	0.23	0.91	0.75	0.75	0.191	1.29	1.32	0.005	1.27	0.92	0.09	0.04	0.02	0
2.71	4.82	0.05	0.46	0.005	4.6	0.04	0.29	1.28	0.96	0.96	0.04	10.54	1.27	0.003	10.82	7.74	0.09	0.4	0.07	1
0.07	26.31	0	0.44	0.09	0.45	0.03	1.23	0.84	0	0.005	0.063	11.67	0.63	0.001	1.31	1.94	0.05	0.01	0.05	0
0.01	3.78	0.03	1.92	0.05	0.23	0.07	0.04	1.33	0.21	0	0.151	9.56	1	0.009	4.53	7.23	0.08	0.01	0.01	0
0.09	12.54	0.09	2.72	0.03	0.26	0.02	1.42	0.7	0.11	0.001	0.053	15.38	0.37	0.008	1.49	0.96	0.1	0.02	0.06	0
0.09	15.38	0.01	2.35	0.02	0.15	0.02	0.67	0.08	0.61	0.61	0.123	3.34	0.75	0	3.69	0.77	0.03	0.04	0.01	0
0.09	12.98	0.82	2.14	0.06	3.04	0.87	1.88	0.4	0.13	0.004	0.085	12.28	1.66	0.008	51.46	4.7	0.1	0.04	0.05	0
3.32	3.5	0.54	3.17	0.08	5.92	0.15	0.6	1.29	0	0	0.145	8.85	1.33	0.006	21.71	7.8	0.05	0.33	0.06	0
2.7	14.29	0.95	2.44	0.08	4.21	0.82	0.81	1.27	0	0.53	0.057	17.54	1.53	0.005	25.89	0.23	0.07	0.42	0.01	0
3.08	9.09	0.77	1.53	0.12	6.36	0.61	0.77	0.76	0	0	0.086	10.49	1.4	0	33.39	6.36	0.02	0.17	0.08	0
0.04	9.62	0	1.78	0.08	0.18	0.03	0.07	1.06	0	0.63	0.171	1.96	0.39	0.005	2.51	0.05	0.02	0.08	0.02	0
0.16	15.37	0.04	2.85	0.004	2.19	0.05	1.9	1.1	0	0	0.165	8.02	1.63	0.003	23.22	3.43	0.09	0.1	0	1
0.08	6.58	0.01	3.38	0.006	1.8	0.53	1.05	1.26	0.03	0.003	0.079	8.69	1.8	0.004	42.43	1.67	0.01	0.12	0.09	0
0.02	8.05	0.02	0.26	0.05	0.07	0.08	0.1	0.01	0.92	0.92	0.101	15.1	1.36	0.007	0.99	5.32	0.01	0.03	0.04	0
2.44	14.38	0.21	2.04	0.1	1.54	0.23	1.3	0.37	0	0	0.156	10.42	1.16	0.008	25.25	3.24	0.05	0.44	0	0
0.1	14.35	0.02	0.15	0.01	0.59	0.06	1.47	0.15	0.37	0.002	0.085	19.55	0.93	0.001	0.16	1.42	0.05	0.1	0.07	0
0.96	5.11	0.001	1.17	0.006	0.2	0.18	0.18	0.37	0.03	0.008	0.081	10.84	1.82	0.007	0.9	2.77	0.03	0.43	0.03	1
0.02	17.58	0.03	3.59	0.006	0.08	0.72	0.72	1.32	0.99	0.99	0.087	2.5	1.44	0.003	31.84	3.03	0.08	0.39	0.03	0
0.09	6.85	0	0.61	0.03	0.05	0.05	0.02	0.91	0	0	0.182	15.92	1	0	1.35	4.84	0	0.04	0.05	1
0.05	16.97	0.1	0.33	0.02	0.02	0.08	1.19	0.26	0	0.72	0.034	17.62	0.07	0.004	7.45	1.73	0.04	0.1	0.06	0
0.09	6.17	0.07	0.43	0	0.02	0.01	0.05	0.15	0.09	0	0.165	16.08	0.25	0.003	2.27	0.44	0.01	0.08	0	0
0.05	1.71	0.09	0.93	0.05	0.25	0.07	1.77	1.43	0	0	0.118	2.71	1.16	0.002	4.82	6.52	0.03	0.09	0	0
0.07	29.63	0.03	0.4	0.04	0.13	0.04	1.46	1.46	0.76	0.76	0.083	4.07	1.37	0.009	0.03	0.61	0.07	0.07	0.06	0
0.09	12.25	0.02	1.63	0.008	1.41	0.46	0.62	0.88	0.25	0.002	0.167	9.14	1.5	0.008	36.36	3.46	0.1	0.23	0.04	0
0.08	8.01	0.94	2.25	0.08	3.28	0.77	0.02	1.47	0.97	0.97	0.166	12.95	1.35	0.005	17.2	3.54	0.05	0.5	0.01	0
0	8.12	0.02	0.97	0.007	3.47	0.65	1.51	1.46	0.58	0.58	0.061	8.96	1.5	0.004	14.6	1.74	0.03	0.01	0.06	0
0.03	24.61	0.09	0.81	0.06	0.17	0.03	0.71	0.91	0.66	0.66	0.182	15.9	0.89	0.006	0.33	3.35	0.08	0.01	0.05	0
0.07	20.45	0.02	1.8	0.03	0.34	0.09	0.04	0.51	0	0.57	0.176	3.88	0.92	0.001	2.95	0.26	0.02	0.07	0.05	0
0.09	11.63	0.1	0	0.06	0.2	0.06	1.63	0.27	0.62	0.62	0.166	0.02	1.03	0.003	2.54	0.15	0	0.09	0.05	0
0.22	18.53	0.03	2.14	0.001	1.79	0.88	0.56	1.49	0	0	0.05	11.82	1.06	0.003	30.27	1.91	0.08	0.29	0.06	1
0.09	21.24	0	0.78	0.01	0.09	0.09	1.47	1.24	0.83	0.83	0.026	0.66	1.49	0.009	0.43	0.26	0.1	0.02	0.09	0
0	17.6	0.08	2.78	0.04	0.49	0	1.94	0.8	0.32	0.004	0.124	13.09	1.56	0.01	5.8	0.85	0.01	0.02	0.04	0
0.08	15.04	0	0.08	0.02	0.13	0.01	0.46	0.74	0	0	0.072	13.5	1.37	0.005	6.12	0.71	0.09	0.09	0.08	0
0.06	20.11	0.02	2.39	0.003	4.86	0.41	1.62	0.98	0.07	0.008	0.107	4.09	1.67	0.007	46.47	1.63	0.09	0.16	0.02	0
0.02	26.9	0.33	4.26	0.08	6.01	0.72	0.05	0.89	0.84	0.84	0.001	9.46	2.15	0.007	28.61	5.77	0.07	0.14	0.03	0
0	13.84	0.02	1.33	0.008	6.44	0.45	0.56	0.8	0.29	0.001	0.186	2.84	1.37	0	29.98	7.36	0.08	0.09	0.08	0
0.01	2.7	0.06	1.72	0.02	0.35	0.03	0.96	0.02	0.63	0.63	0.042	12.16	0.38	0.009	2.5	2.09	0.09	0.07	0.04	0
0.18	26.04	0.03	1.94	0.005	0.01	0.34	0.37	1.29	0.62	0.62	0.122	12.41	1.05	0.007	49.82	2.73	0.04	0.03	0.08	0
0.05	6.22	0.001	0.17	0.001	1.39	0.74	0.03	0.15	0.09	0	0.165	16.08	1.5	0.003	11.39	3.86	0.01	0.43	0	0
0.02	0.54	0.01	3	0.07	0.57	0.06	0.05	0.89	0	0	0.038	2	1.27	0.009	0.13	3.71	0.02	0.06	0.06	0
1.62	6.54	0.01	1.46	0.001	3.07	0.11	0.05	1.21	0.33	0.001	0.015	1.72	1.02	0.001	3.47	6.28	0.09	0.47	0.01	1
0.05	8.41	0.03	0.28	0.09	0.05	0.01	1.96	0.82	0.11	0.005	0.037	13.27	1.78	0	0.39	0.82	0	0	0.01	0
3.97	0.43	0.45	4.59	0.03	5.35	0.82	0.69	1.35	0.04	0	0.139	1.93	1.8	0.006	25.02	1.03	0.04	0.23	0.07	0
0.06	2.84	0	0.26	0.07	0.01	0.06	1.8	1.39	0	0	0.175	17.92	2.13	0.002	1.63	0.65	0.05	0.02	0.08	0
0.01	13.01	0.04	2.16	0.07	0.34	0.09	0.07	0.61	0	0.52	0.095	13.32	0.93	0.005	2.45	1.41	0.01	0.08	0.02	0
0.07	19.52	0.1	0.09	0.09	0.07	0.06	0.08	0.34	0.26	0.003	0.146	7.96	1.56	0.006	6.31	1.36	0.09	0.01	0.05	0
0.05	16.83	0.01	0.3	0.08	0.28	0.1	0.89	0.7	0.07	0.008	0.122	18.06	1.52	0.002	8.35	2.52	0.05	0.03	0.05	0
0.74	14.13	0.001	0.74	0.002	3.23	0.55	0.63	0.7	0	0	0.144	8.95	1.2	0.005	49.41	5.76	0.06	0.5	0.02	0
0.07	17.63	0.07	0.4	0.02	0.03	0.03	0.53	0.12	0.66	0.66	0.016	8.96	1.61	0.01	3.26	0.67	0	0.03	0.03	0
0.05	1.9	0.02	0.17	0.08	0.4	0.08	0.09	0.2	0	0.005	0.013	16.7	0.88	0.003	10.46	2.52	0.01	0.06	0.01	0
3.6	8.24	0.03	1.92	0.003	1.44	0.08	1.89	0.65	0.39	0.008	0.011	13.75	1.8	0.001	32.55	5.78	0.08	0.04	0.07	1
0.09	5.62	0.05	2.58	0.08	0.51	0	0.33	0.22	0	0.008	0.163	11.54	0.27	0.007	6.7	0.68	0.04	0	0.06	0
0.03	23.9	0.79	3.41	0.02	2.23	0.1	0.06	0.74	0.32	0.002	0.001	11.41	1.99	0.004	16.05	0.1	0.07	0.09	0.01	1
0.05	8.68	0.03	0.4	0.08	0.1	0.03	0.05	0.14	0	0.004	0.069	8.43	0.15	0.007	2.63	1.03	0.08	0.05	0.09	0
0	11.58	0.02	2.12	0.02	0.09	0.02	1.14	1.14	0.45	0.004	0.045	9.28	1.35	0.01	2.1	0.2	0.02	0.08	0.04	0
2.74	17.25	0.3	1.11	0.02	6.47	0.41	0.89	0.7	0	0.008	0.122	18.65	1.64	0.002	42.67	7.53	0.05	0.15	0.05	0
0.04	18.99	0.04	0.31	0.06	0	0.01	0.18	0.13	0.79	0.79	0.132	9.4	1.68	0.006	3.07	0.82	0	0.05	0.06	0
0.09	1.8	0.09	0.64	0.05	0.36	0.07	0.87	1.14	0.79	0.79	0.102	5.54	1.67	0.006	12.83	2.21	0.1	0.08	0.03	0
0.08	15.55	0.08	0.32	0.01	0.05	0.04	0.01	0.23	0	0.93	0.164	5.03	0.45	0.007	1.47	0.84	0.06	0.02	0.05	0
0.03	28.13	0.04	0.68	0.07	0.03	0	1.12	0.53	0.14	0.008	0.159	14.47	1.91	0.006	4.33	0.27	0.02	0.06	0.03	0
2.67	7.23	0.04	3.38	0.002	3.82	0.75	1.93	0.18	0	0	0.04	6.22	1.65	0.007	42.42	5.34	0.04	0.03	0.06	1
0.03	6.6	0.08	1.48	0.07	0.02	0.05	1.93	0.18	0.49	0.008	0.04	6.22	1.65	0.007	1.12	0.76	0.04	0.03	0.06	0
3.1	19.15	0.74	4.09	0.09	5.02	0.64	0.05	0.4	0	0.74	0.012	13.42	2.01	0	51.6	5.77	0.06	0.46	0	0
0.04	12.82	0.05	0.48	0.03	0.42	0.1	1.89	0.9	0	0	0.002	8.3	1.8	0.001	0.28	3.96	0.03	0.04	0.04	0
0.08	3.32	0.88	3.68	0.01	5.9	0.12	0.08	0.33	0.6	0.6	0.16	6.24	1.46	0.003	58.16	4.33	0.02	0.39	0.07	0
0.01	15.07	0.29	1.53	0.11	1.81	0.45	0	0.45	0.3	0.008	0.197	15.61	2.16	0.001	32.55	4.86	0.05	0.04	0.06	0
0.09	28.71	0	0.05	0.03	0.02	0.01	0.72	0.57	0	0.007	0.153	15.26	0.08	0.003	1.93	1.81	0.1	0.01	0.09	0
0.1	21.52	0.04	1.1	0.05	0.06	0.06	0.75	1.25	0	0.002	0.083	16.24	0.27	0.005	1.69	0.26	0.05	0	0.04	0
0.01	16.14	0.04	0.53	0.007	3.79	0.64	1.02	0.03	0.73	0.73	0.138	15.13	1.6	0.002	33.01	6.32	0.03	0.04	0.07	0
4.31	28.61	0.17	1.21	0.03	3.74	0.78	1.59	1.01	0	0.008	0.052	0.84	1.84	0.004	21.99	4.96	0.08	0.27	0.08	0
0.31	26.12	0.03	3.57	0.002	5.29	0.3	0.78	0.09	0.83	0.83	0.138	10.49	1.47	0.009	48.81	4.63	0.09	0.18	0.05	0
1.75	0.69	0.04	3.41	0.009	1.55	0.86	0.26	0.59	0	0	0.008	12.69	1.61	0.001	25.03	6.26	0.08	0.2	0.06	1
0.08	5.43	0.05	0.4	0.03	0.74	0.09	0.57	1.44	0.44	0.003	0.092	7.85	1.48	0.009	11.31	0.37	0.02	0.07	0.07	0
0.17	27.35	0.03	0.96	0.005	7.79	0.65	1.23	0.84	0.33	0.005	0.063	10.96	1.39	0.001	3.43	2.39	0.05	0.26	0.05	0
0.01	9.37	0.97	1.71	0.11	4.68	0.43	0.03	0.96	0.11	0.001	0.001	19.7	1.8	0.007	7.7	5.62	0.08	0.08	0.06	0
0.03	19.92	0.01	2.19	0.08	0.23	0	0.05	0.63	0.45	0	0.142	7.2	1.84	0.007	10.42	1.77	0.06	0.02	0.01	0
0.09	20.77	0.09	0.63	0.03	0.13	0.1	1.06	0.1	0.84	0.84	0.139	15.88	1.25	0.001	10.2	3.24	0.08	0.09	0.07	0
3.83	21.94	0.96	2.16	0.08	0.61	0.47	0.1	1.07	0.22	0.004	0.089	16.96	1.75	0.01	16.12	7.81	0.07	0.2	0	0
0.03	2.19	0.05	0.63	0.08	0.42	0	0.08	1.25	0.06	0.005	0.048	0.39	0.55	0.008	4.81	0.54	0.08	0.04	0.03	1
0.01	2.73	0	0.01	0	0.01	0.07	1.94	0.78	0.89	0.89	0.101	13.11	1.66	0.008	8.49	5.29	0.02	0.05	0.04	0
3.4	14.2	0.42	1.98	0.07	8.42	0.28	1.86	0.45	0	0	0.185	1.38	1.74	0.003	46.43	7.29	0.07	0.02	0.01	0
0.08	15.09	0.04	0.44	0.01	0.05	0.03	0.1	0.45	0	0.008	0.197	15.13	0.3	0.001	0.31	2.67	0.05	0.1	0.06	0
0.03	9.92	0.03	0.36	0.06	0.59	0.02	0.52	0.32	0.31	0.002	0.11	4.4	2.07	0	6.25	1.84	0.01	0.05	0.02	0
0.05	9.56	0.06	0.74	0.06	0.13	0	0.02	0.56	0	0.002	0.185	15.38	0.4	0.003	3.96	2.43	0.05	0.1	0.08	0
4.5	24.24	0.01	2.68	0.005	3.31	0.86	0.46	0.33	0.92	0.92	0.025	5.9	1.02	0.008	18.88	7.48	0.06	0.3	0.06	1
0.07	17.46	0.07	0.15	0.09	0.64	0	0.03	1.07	0	0.004	0.099	8.49	0.7	0.009	6.93	1.61	0.09	0.02	0.09	0
0	24.39	0.02	0.17	0.04	0.03	0.04	0.02	0.06	0	0.58	0.035	2.64	0.57	0.007	0.43	0.65	0.01	0.05	0.06	0
0.02	28.03	0.01	0.15	0.01	0	0.03	1.59	1.01	0	0.008	0.052	0.5	0.55	0.004	0.93	0.83	0.08	0.06	0.08	0
0.06	2.2	0.04	1.46	0.1	0.07	0.01	0.56	1.29	0.64	0.64	0.18	3.9	2.09	0.008	1.96	0.32	0.09	0.09	0.09	0
0.08	22.9	0.14	1.36	0.1	6.21	0.22	0.1	0.02	0.22	0.008	0.017	14.06	1.89	0.001	57.34	0.74	0	0.35	0.06	0
1.35	28.83	0.04	0.18	0.006	0.1	0.31	0.46	1.4	0.41	0.008	0.108	5.36	1.91	0.003	8	3.52	0.02	0.27	0.08	1
0.06	4.33	0.02	0.52	0.08	0.14	0.05	1.09	0.37	0.53	0.53	0.075	15.72	1.14	0.009	6.08	1.73	0.05	0.02	0.09	0
0.17	16.77	0.03	1.81	0.003	0.05	0.03	0.04	1.16	0.51	0.51	0.044	5.17	1.47	0.006	51.61	3.72	0.04	0.14	0.08	0
1.01	12.52	0.02	1.83	0.003	6.76	0.3	0.23	0.21	0	0	0.097	17.64	1.56	0.009	24.1	3.17	0.05	0.26	0.05	1
0.03	11.44	0.07	0.52	0.08	0.32	0.02	1.5	0.68	0.8	0.8	0.193	10.2	1.72	0.006	1.18	0.59	0.1	0.08	0.04	0
3.99	9.06	0.001	3.64	0.007	6.69	0.43	1.35	0.32	0	0	0.198	15.91	1.99	0.001	25.05	4.9	0.06	0.16	0.01	1
0.04	27.8	0.02	0.74	0.006	6.07	0.28	0.01	0.78	0.54	0.54	0.035	8.83	1.1	0.001	29	1.7	0.07	0.37	0.05	0
0.03	8.69	0.08	0.35	0.07	0.02	0.06	1.38	0.84	0	0	0.165	13.86	1.28	0.009	4.15	0.89	0.01	0.05	0.01	0
1.43	18.87	0.92	1.82	0.08	2.27	0.03	1.34	0.26	0	0	0.113	2.29	1.76	0.01	26	2.73	0.09	0.11	0.04	0
0.04	0.65	0.07	0.58	0.01	0.11	0.05	1.26	0.13	0.93	0.93	0.165	4	1.01	0	5.38	0.24	0.07	0.1	0.01	0
0.08	2.21	0.52	4.25	0.02	4.6	0.53	0.05	1.33	0.49	0.001	0.031	13.03	2.02	0.009	26.52	3.93	0.09	0.43	0.03	0
0	13.19	0.36	4.41	0.09	7.38	0.13	0.07	0.7	0.11	0.001	0.053	14.58	1.5	0.008	36.99	1.72	0.1	0.03	0.06	0
0.04	8.88	0.01	0.44	0.06	0.07	0.01	0.16	0.39	0.41	0.006	0.037	17.2	1.21	0.005	3.91	0.53	0.02	0.08	0.06	0
4.53	23.34	0.04	3.39	0.002	2.67	0.46	0.4	0.88	0.59	0.59	0.118	6.4	1.63	0.003	36.62	1.75	0.02	0.23	0.06	0
4.84	0.38	0.001	3.34	0.004	7.88	0.27	1.74	0.36	0.21	0.007	0.187	4.2	1.88	0.002	57.4	2.3	0.06	0.22	0.06	0
0.07	8.58	0.02	2.55	0.07	0.01	0.02	0.04	0.99	0	0.006	0.132	8.47	0.84	0.006	0.27	2.72	0.02	0.08	0.02	0
0.05	10.19	0.07	0.91	0.08	0.48	0.1	0.09	1.32	0	0	0.034	4.06	0	0.006	0.01	0	0.02	0.02	0	1
0.15	14.1	0.01	2.39	0.006	4.36	0.36	1.6	0.15	0.91	0.91	0.01	14.1	1.53	0.006	30.49	2.96	0.04	0.33	0	0
0.15	2.61	0.01	2.56	0.007	6.9	0.42	0.46	1.31	0	0	0.093	13.37	1.16	0.004	26.43	2.83	0.07	0.3	0.03	1
0.1	9.85	0.03	0.22	0.07	0.16	0.08	0.01	0.9	0	0.95	0.014	17.66	0.99	0.007	6.04	2.78	0.1	0.04	0.04	0
0.08	21.31	0.07	1.7	0.02	0.22	0.06	1.49	0.65	0.63	0.63	0.16	13.24	1.21	0.003	6.6	0.19	0.02	0.09	0.01	0
0.05	9.33	0.12	3.66	0.12	7.53	0.48	0.06	0.88	0.36	0.005	0.072	3.73	1.36	0.009	13.14	4.59	0.1	0.39	0.06	0
0.05	20.79	0.03	0.48	0.04	0.07	0.08	0.1	0.34	0	0.98	0.104	16.47	0.38	0.009	1.77	0.65	0.06	0.08	0.08	0
0.05	28.45	1	2.7	0.08	4.7	0.77	0.05	0.4	0.59	0.59	0.178	5.46	1.31	0.004	25.22	4.83	0.02	0.1	0.02	1
0.08	6.54	0.07	0.77	0.08	0.09	0.07	0.08	1.37	0	0.94	0.151	8.35	0.03	0	5.7	3.78	0.07	0.09	0.03	0
3.49	12.38	0.13	3.22	0.13	4.85	0.13	0.24	1.23	0	0.008	0.196	10.28	1.81	0.008	10.74	5.94	0.03	0.1	0.07	0
0	10.22	0.07	0.43	0.1	0.41	0.05	1.45	0.89	0.21	0.002	0.177	15.57	0.99	0.004	0.99	0.4	0.01	0	0.03	0
4.11	0.93	0.05	3.21	0.008	1.46	0.59	0.31	1.3	0	0	0.154	15.46	1.58	0.007	50.19	5.69	0.09	0.18	0.04	0
0.08	28.55	0.01	2.47	0.004	4.62	0.77	1.84	0.4	0.59	0.59	0.178	5.29	1.22	0.004	32.54	4.83	0.02	0.1	0.02	1
0.08	21.63	0.02	1.87	0.003	0.45	0.57	0.75	1.25	0.28	0.002	0.083	15.32	1.01	0.005	13.3	4.32	0.05	0.29	0.04	0
0.06	1.89	0.09	0.21	0.08	0.37	0.08	0.06	0.04	0.08	0.005	0.078	11.38	1.56	0.001	4.08	0.97	0.08	0.04	0.04	0
4.37	10.05	0.56	2.91	0.04	8.1	0.32	1.98	0.66	0	0	0.101	7.42	1.89	0.009	10.37	5.63	0.04	0.12	0.01	0
0.04	15.89	0.03	1.86	0.08	0.19	0.02	0.61	0.35	0	0	0.132	8.39	2.93	0	2.23	5.57	0.03	0.07	0.01	0
1.06	12.42	0.41	2.23	0.1	7.07	0.3	0.23	0.21	0.54	0.54	0.097	18.3	1.69	0.009	34.05	3.17	0.05	0.26	0.05	0
3.17	19.21	0.22	0.51	0.01	7.9	0.43	1.84	0.75	0	0.92	0.142	7.71	1.39	0.004	13.54	5.84	0.02	0.38	0.09	0
0.02	28.74	0.02	3.15	0.004	6.4	0.27	0.2	0.58	0.8	0.8	0.112	11.7	1.58	0.007	20.46	7.21	0.07	0.46	0.09	0
0	4.34	0.09	0.57	0.05	0.04	0.04	0.1	0.72	0.39	0.008	0.011	15.52	1.31	0.007	9.62	3.51	0.1	0.08	0.06	0
0.18	1.26	0.33	4.15	0.07	3.56	0.03	1.39	1.12	0.1	0.001	0.108	9.43	1.63	0.009	50.01	4.39	0.02	0.11	0.07	0
0	13.74	0.01	1.36	0.001	0.19	0.51	1.5	0.69	0.82	0.82	0.053	1.08	1.24	0.005	8.65	6.98	0.05	0.15	0.07	0
4.64	25.66	0.04	3.49	0.007	7.97	0.49	1.72	0.49	0.6	0.6	0.093	7.5	1.23	0.009	55.54	7.1	0.02	0.46	0.07	0
0.02	3.11	0.08	0.65	0.04	0.07	0.03	0.58	0.62	0	0	0.006	9.62	1.51	0.003	5.34	3.04	0.02	0.09	0.03	0
0.13	16.35	0.03	2.9	0.008	5.14	0.29	1.5	0.25	0.02	0	0.083	6.22	1.91	0.009	50.04	1.39	0.02	0.11	0	0
4.5	7.38	0.81	1.03	0.07	3.12	0.36	0.55	1.14	0.26	0.006	0.18	16.23	1.9	0.01	55.35	7.79	0.08	0.13	0.01	0
0.09	21.6	0.03	0.03	0.01	0.08	0.06	0.17	0.58	0.52	0.52	0.011	18.4	0.9	0.009	3.15	0.71	0.08	0.05	0.08	0
0.04	10.56	0.66	3.53	0.11	1.59	0.01	0.07	1.23	0.96	0.96	0.142	0.98	1.32	0.002	27.48	5.17	0.02	0.23	0.04	0
0.48	26.32	0.28	0.48	0.02	7.29	0.25	1.4	0.07	0.74	0.74	0.145	15.23	1.4	0.003	34.34	2.63	0.08	0.22	0.06	0
3.05	22.43	0.03	0.89	0.005	5.99	0.86	1.72	0.81	0.87	0.87	0.15	2.74	1.6	0.004	28.79	7.27	0.02	0.24	0.05	1
2.73	19.42	0.02	1.78	0.005	1.97	0.74	0.18	0.13	0.79	0.79	0.132	9.4	1.68	0.006	25.97	6.35	0	0.17	0.06	1
0.03	6.62	0.01	1.24	0.03	0.44	0.04	1.05	0.05	0.49	0.005	0.1	10.02	0.99	0.007	0.22	0.86	0.06	0.01	0.05	0
0.03	28.54	0.1	0.27	0.05	0.28	0.05	0.04	0.43	0	0.73	0.18	9.98	0.61	0.009	11.27	0.85	0.02	0.01	0.01	0
0.08	9.75	0.09	0.88	0.02	0.63	0.03	1.07	1.35	0	0.003	0.113	14.65	0.13	0.003	0.02	0.38	0.06	0.05	0.04	0
0.06	5.8	0.001	1.99	0.002	6.45	0.07	0.65	1.5	0.79	0.79	0.118	11.34	1.97	0.002	46.13	2.35	0.01	0.31	0.06	0
0	23.71	0.08	0.01	0.09	0.1	0.04	1.35	1.07	0	0.7	0.101	2.16	0.71	0.008	3.1	3.27	0.09	0.01	0.03	0
0.06	15.84	0.04	0.77	0.07	0.07	0.08	1.46	0.93	0.83	0.83	0.166	8.67	0.88	0.007	7.66	0.77	0.08	0.06	0.02	0
0.01	0.13	0.02	1.92	0.007	3.21	0.02	0.33	0.74	0.32	0.005	0.008	1.59	1.98	0.001	22.42	4.13	0	0.06	0.04	0
0.06	15.64	0.03	0.33	0.05	0.34	0.1	0.03	1.16	0	0.72	0.156	0.52	0.13	0.01	2.17	3.47	0.09	0.02	0.08	0
0.03	3.42	0.02	3.34	0.001	5.79	0.12	1.85	0.33	0.6	0.6	0.16	5.35	1.37	0.003	36.39	4.33	0.02	0.39	0.07	0
0.22	11.93	0.99	4.36	0.05	5.22	0.71	1.98	1.32	0.86	0.86	0.034	3.78	1.66	0.006	51.51	7.16	0.02	0.21	0.09	0
0.06	4.77	0.05	1.85	0.03	0.4	0.1	0.03	1.14	0	0.77	0.174	9.12	0.89	0.006	1.51	0.48	0.04	0.03	0.09	0
0.01	2.77	0.1	0.44	0.08	0.17	0.08	0.4	1.09	0	0	0.14	3.76	1.55	0.005	6.62	2.34	0.08	0.07	0.04	0
0.09	0.26	0.09	0.45	0.01	0.49	0.06	1.92	0.29	0	0	0.192	13.79	1.59	0.007	2.02	0.38	0.05	0.02	0.06	0
0.04	21.76	0.1	0.27	0.09	0.04	0.07	0.53	0.95	0.19	0.004	0.011	12.18	1.29	0.006	5.77	0.32	0.03	0.01	0.05	0
0.09	2.8	0.03	1.89	0.003	4.62	0.72	0.06	0.04	0.08	0.005	0.078	10.58	1.91	0.001	40.52	2.41	0.08	0.04	0.04	0
